modern;traditional
оверлоп;оверло́пъ (кораб.)
Овернь;Ове́рнь
оверштаг;овершта́гъ
овершье;ове́ршье (верши́на сто́га, холма́)
овёс;овёсъ, овсы́, въ овса́хъ (поса́дкахъ), въ овсѣ́ (зернѣ́)
овечка;ове́чка, ове́чекъ, объ ове́чкѣ
овечий;ове́чій
овечье;ове́чье
овечьего;ове́чьяго
овеществлённый;овеществлённый
овеян;овѣ́янъ, овѣ́яно, овѣ́яна, овѣ́яны (не овѣ́енъ!)
овеянные;овѣ́янные (м. р.), овѣ́янныя (ж. р. и ср. р.)
овеянный;овѣ́янный, овѣ́яннаго
овеять;овѣ́ять, овѣ́йте, овѣ́ютъ, овѣ́емъ, овѣ́ешь, овѣ́етъ, овѣ́ете
Овидий;Ови́дій
Овидиополь;Овидіо́поль
овин;ови́нъ, въ ови́нѣ (строе́ніе для су́шки снопо́въ пе́редъ молотьбо́й)
Овинище;Ови́нище
овладевать;овладѣва́ть
овладевшего;овладѣ́вшаго
овладевшее;овладѣ́вшее
овладевшие;овладѣ́вшіе (м. р.), овладѣ́вшія (ж. р. и ср. р.)
овладевший;овладѣ́вшій, овладѣ́вшаго
овладеет;овладѣ́етъ
овладеешь;овладѣ́ешь
овладеть;овладѣ́ть
овощ;о́вощъ, овоще́й (не о́вощь!)
овощей;овоще́й
овощной;овощно́й
овраг;овра́гъ, въ овра́гѣ
овражек;овра́жекъ, въ овра́жкѣ
Овсеенко;Овсѣ́енко, но Овсіе́нко
овсец;овсе́цъ, овсеца́ (расте́ніе семе́йства зла́ковъ)
Овсиевич;Овсіе́вичъ
Овсиенко;Овсіе́нко, но Овсѣ́енко
овца;овца́, ове́цъ, объ овцѣ́ (не аффца́ :)
овцебык;овцебы́къ (парнокопы́тное живо́тное семе́йства полоро́гихъ, му́скусный бы́къ)
овцеводство;овцево́дство
Овьедо;Овіе́до
огаженный;ога́женный
Огайо;Ога́йо
Огарёв;Огарёвъ
оглавление;оглавле́ніе
огласка;огла́ска, преда́ть огла́скѣ
оглашение;оглаше́ніе
оглашенный;оглаше́нный (веду́щій себя́ безтолко́во и шу́мно)
оглашённый;оглашённый (объя́вленный)
оглоед;оглоѣ́дъ (о ненасы́тномъ, жа́дномъ человѣ́кѣ, дармоѣ́дѣ, бездѣ́льникѣ)
оглохнет;огло́хнетъ, огло́хнете
оглупеть;оглупѣ́ть (ста́ть глу́пымъ), но оглупи́ть (сдѣ́лать глу́пымъ)
оглуплённый;оглуплённый, оглуплённаго
оглушённый;оглушённый, оглушённаго
оглушительное;оглуши́тельное
оглушительные;оглуши́тельные (м. р.), оглуши́тельныя (ж. р. и ср. р.)
оглушительный;оглуши́тельный, оглуши́тельнаго
оглядеть;оглядѣ́ть
оглядеться;оглядѣ́ться
оглянешься;огля́нешься
огне;на огнѣ́, въ огнѣ́, но огнёмъ, огнево́й, о́гненный
огнёвка;"огнёвка (небольша́я ба́бочка — вреди́тель расте́ній; поро́да лиси́цъ съ краснова́той ше́рстью)"
огневое;огнево́е
огневой;огнево́й, огнево́го
огневые;огневы́е (м. р.), огневы́я (ж. р. и ср. р.)
огнедышащий;огнеды́шущій
огнезащищённый;огнезащищённый
огней;огне́й
огнём;огнёмъ, въ огнѣ́
огнемёт;огнемётъ
Огненная Земля;о́гненная Земля́
огненное;о́гненное
огненные;о́гненные (м. р.), о́гненныя (ж. р. и ср. р.)
огненный;о́гненный, о́гненнаго
огнеопасное;огнеопа́сное
огнестойкость;огнесто́йкость
огнестрельное;огнестрѣ́льное ору́жіе
огнетушитель;огнетуши́тель, огнетуши́телемъ
огнище;огни́ще
оговорённый;оговорённый
оголённый;оголённый
оголтело;огалтѣ́ло
оголтелость;огалтѣ́лость
оголтелые;огалтѣ́лые (м. р.), огалтѣ́лыя (ж. р. и ср. р.)
оголтелый;огалтѣ́лый (потеря́вшій вся́кое чу́вство мѣ́ры, кра́йне разну́зданный)
огонёк;огонёкъ
огонёчек;огонёчекъ
огонь;ого́нь, на огнѣ́, въ огнѣ́, огнёмъ, огне́й
огород;огоро́дъ, въ огоро́дѣ, огоро́децъ
огородные;огоро́дные (м. р.), огоро́дныя (ж. р. и ср. р.)
огороженный;огоро́женный
огорчает;огорча́етъ, огорча́ете
огорчение;огорче́ніе
огорчённого;огорчённаго
огорчённое;огорчённое
огорчённые;огорчённые (м. р.), огорчённыя (ж. р. и ср. р.)
огорчённый;огорчённый, огорчённаго
огорчительно;огорчи́тельно, огорчи́теленъ
ограбление;ограбле́ніе
ограбленный;огра́бленный
ограждение;огражде́ніе
ограждённый;ограждённый
огранение;огране́ніе
огранённый;огранённый
ограничена;ограни́чена (пpич.)
ограничение;ограниче́ніе
ограниченна;ограни́ченна (пpил.)
ограниченность;ограни́ченность
ограничитель;ограничи́тель, ограничи́телемъ
огребать;огреба́ть
огрёбший;огрёбшій
огревать;огрѣва́ть
огрести;огрести́
огреть;огрѣ́ть
огромен;огро́менъ
огромнейшее;огро́мнѣйшее, огро́мнѣйшій, огро́мнѣйшаго
огромнейшие;огро́мнѣйшіе (м. р.), огро́мнѣйшія (ж. р. и ср. р.)
огромное;огро́мное, огро́мнаго
огромные;огро́мные (м. р.), огро́мныя (ж. р. и ср. р.)
огромный;огро́мный, огро́мнаго, огро́мнѣйшій, въ огро́мнѣйшемъ
огрубел;огрубѣ́лъ
огрубелый;огрубѣ́лый
огрубеть;огрубѣ́ть
огрублённый;огрублённый
огрызнёшься;огрызнёшься
огульное;огу́льное, огу́льный, огу́льнаго
огульные;огу́льные (м. р.), огу́льныя (ж. р. и ср. р.)
огурец;огуре́цъ, въ огурцѣ́, огурцы́, огурцо́мъ, огуре́чный (разсо́лъ)
огуречик;огуре́чикъ
огуречный;огуре́чный (разсо́лъ), огуре́чнаго
огустение;огустѣ́ніе
одавленный;ода́вленный
одаренный;ода́ренный (получи́вшій пода́рокъ)
одарённый;одарённый (тала́нтливый)
одаряет;одаря́етъ, одаря́ете, одари́те и ода́рите
одевать;"одѣва́ть (кого́-либо), но оде́жда; надѣва́ть (что́-либо)"
одёжа;одёжа, одёжка, по одёжѣ встрѣча́ютъ
одежда;оде́жда, въ оде́ждѣ, но одѣва́ть
одёжина;одёжина
одёжка;одёжка, одёжа, по одёжкѣ встрѣча́ютъ
одёжный;одёжный
одежонка;одежо́нка
одеколон;одеколо́нъ
оделённый;одѣлённый
Одельск;Оде́льскъ
оделять;одѣля́ть (дава́ть, надѣля́ть, снабжа́ть)
Оденпе;Оденпе́
Оденвальд;Оденва́льдъ
оденет;одѣ́нетъ, но оде́жда
оденете;одѣ́нете, но оде́жда
оденетесь;одѣ́нетесь, но оде́жда
оденется;одѣ́нется, но оде́жда
оденешь;одѣ́нешь, но оде́жда
оденешься;одѣ́нешься, но оде́жда
Одензе;Одензе́
одену;одѣ́ну, но оде́жда
оденусь;одѣ́нусь, но оде́жда
оденут;одѣ́нутъ, но оде́жда
оденутся;одѣ́нутся, но оде́жда
Одер;о́деръ
одер;о́деръ (плоха́я коро́ва, ло́шадь, кля́ча), о́дры, на о́драхъ
одёрганный;одёрганный
одёргивание;одёргиваніе
одеревенение;одеревянѣ́ніе
одержанный;оде́ржанный, оде́ржаннаго
одержать;одержа́ть, одержи́те и оде́ржите
одержимость;одержи́мость
одержимые;одержи́мые (м. р.), одержи́мыя (ж. р. и ср. р.)
одержимый;одержи́мый, одержи́маго
одёрнешь;одёрнешь, одёрнете
одернить;одерни́ть
одёрнувший;одёрнувшій
одёрнуть;одёрнуть
одесную;одесну́ю, не оде́ссную! (спра́ва, впра́во), см. ткж. ошу́юю — уcтap.
Одесса;Оде́сса, въ Оде́ссѣ
одесские;оде́сскіе (м. р.), оде́сскія (ж. р. и ср. р.)
одесский;оде́сскій, оде́сскаго
одесское;оде́сское
оделение;одѣле́ніе
оделить;одѣли́ть
одень;одѣ́нь, одѣ́ньте, одѣ́нетъ, одѣ́нете, одѣ́немъ, одѣ́нутъ (кого́-либо)
одеть;одѣ́ть, одѣ́тъ, но оде́жда (одѣ́ть кого́-либо, но надѣ́ть что́-либо)
одеться;одѣ́ться, но оде́жда
одетые;одѣ́тые (м. р.), одѣ́тыя (ж. р. и ср. р.)
одетый;одѣ́тый, одѣ́таго, одѣ́тымъ
одеяло;одѣя́ло, одѣя́льце
одеяние;одѣя́ніе
Одигитрия;Одиги́трія, Одиги́тріей (иконографи́ческій типъ Бо́жіей Ма́тери)
один;оди́нъ, одного́, однѣ́ (ж. р.), но одни́ (м. р. и ср. р.)
одинаковый;одина́ковый, одина́кій (схо́дный)
одинёхонек;одинёхонекъ
одинёшенек;одинёшенекъ
одиннадцатого;оди́ннадцатаго
одиннадцатое;оди́ннадцатое
одиннадцать;оди́ннадцать (не оди́надцать!)
одинокие;одино́кіе (м. р.), одино́кія (ж. р. и ср. р.)
одинокий;одино́кій (живу́щій одино́ко)
одиноко;одино́ко, одино́кое, одино́каго
одиночество;одино́чество, въ одино́чествѣ
Одиссей;Одиссе́й
одиссея;одиссе́я, объ одиссе́ѣ (до́лгія злоключе́нія, пережи́тыя го́рести, мы́тарства)
однако;одна́ко, нар. одна́че
однако ж;одна́кожъ
однако же;одна́коже
одне;однѣ́ — ж. р. отъ одни́, сохраня́ется въ стиха́хъ — мнѣ́/однѣ́ (сoвр. мне/одне́)
одни;одни́, одни́хъ, одни́мъ, одни́ми (м. р. и ср. р.), но однѣ́, однѣ́хъ, однѣ́мъ, однѣ́ми (ж. р.)
одним;одни́мъ (м. р. и ср. р.), но однѣ́мъ (ж. р.)
одними;одни́ми (м. р. и ср. р.), но однѣ́ми (ж. р.)
одних;одни́хъ (м. р. и ср. р.), но однѣ́хъ (ж. р.)
одноверец;одновѣ́рецъ
одновёрстный;одновёрстный
одновременно;одновре́менно, одновреме́нно
одного;одного́ (не однаго́!), но го́днаго
однодневные;однодне́вные (м. р.), однодне́вныя (ж. р. и ср. р.)
однодневный;однодне́вный, однодне́внаго, однодне́вное
одноимённый;одноимённый, одноимённаго
одноклеточный;одноклѣ́точный, одноклѣ́тный
одноколенный;одноколѣ́нный, одноколѣ́ннаго
одноколёсный;одноколёсный, одноколёснаго
однокоренное;однокоренно́е
однокоренной;однокоренно́й, однокоренно́го
однокоренные;однокоренны́е (м. р.), однокоренны́я (ж. р. и ср. р.)
однолетние;однолѣ́тніе (м. р.), однолѣ́тні́я (ж. р. и ср. р.)
однолетний;однолѣ́тній, однолѣ́тняго, однолѣ́тнее
одномесячный;одномѣ́сячный, одномѣ́сячнаго
однопролётный;однопролётный
односельчанин;односельча́нинъ, односельча́не
одностороннее;односторо́ннее движе́ніе
одноцветный;одноцвѣ́тный
одночасье;"одноча́сье; схвати́ло вдругъ, въ одноча́сье по́меръ"
одночлен;одночле́нъ
одобревший;одобрѣ́вшій, одобрѣ́вшаго
одобрение;одобре́ніе
одобрительно;одобри́тельно
одобрительное;одобри́тельное
одобряет;одобря́етъ, одобря́ешь, одобря́емъ, одобря́ется
одолеем;одолѣ́емъ, одолѣ́етъ, одолѣ́ешь, одолѣ́ютъ
одолел;одолѣ́лъ, одолѣ́ла, одолѣ́ли
одоление;одолѣ́ніе, одолѣ́ніемъ
одолеть;одолѣ́ть, одолѣ́етъ
одолжение;одолже́ніе, смѣ́ю ли проси́ть объ одолже́ніи
одометр;одо́метръ (счётчикъ про́йденнаго пути́)
одр;одръ (посте́ль, ло́же), у сме́ртнаго одра́, на сме́ртномъ одрѣ́
одревеснеть;одревеснѣ́ть, одревеснѣ́етъ
одряхлевший;одряхлѣ́вшій, одряхлѣ́етъ
одуревший;одурѣ́вшій, одурѣ́етъ
одухотворённый;одухотворённый
одушевлённый;одушевлённый
одышка;оды́шка, при оды́шкѣ
оевропеенный;оевропе́енный, оевропе́ивать, оевропе́иваться, оевропе́ить, оевропе́иться, оевропе́ится, оевропе́етъ
ожёгшийся;ожёгшійся
ожеледь;ожеле́дь (на́ледь, гололе́дица)
оженить;ожени́ть (пожени́ть)
ожеребиться;ожереби́ться (роди́ть жеребёнка, детёныша — о кобы́лѣ, осли́цѣ, верблю́дицѣ, слони́хѣ, лоси́хѣ)
ожерелье;ожере́лье
Ожеро;Ожеро́
ожесточение;ожесточе́ніе
ожесточённый;ожесточённый
ожесточиться;ожесточи́ться
ожечь;оже́чь, оже́чься
Ожешко;Орже́шко
ожжёмся;ожжёмся
ожжёшься;ожжёшься
оживление;оживле́ніе
оживлённее;оживлённѣе
оживлённо;оживлённо, оживлённое
оживлённые;оживлённые (м. р.), оживлённыя (ж. р. и ср. р.)
оживлённый;оживлённый, оживлённаго
ожидаемого;ожида́емаго
ожидаемое;ожида́емое
ожидаемые;ожида́емые (м. р.), ожида́емыя (ж. р. и ср. р.)
ожидаемый;ожида́емый, ожида́емаго
ожидает;ожида́етъ, ожида́емъ, ожида́ешь, ожида́ете
ожидаете;ожида́ете
ожидание;ожида́ніе, ожида́ніемъ, въ ожида́ніи
ожидательный;ожида́тельный, ожида́тельная, ожида́тельное
ожирение;ожирѣ́ніе
ожиреть;ожирѣ́ть, ожирѣ́лъ
ожог;ожо́гъ, ожо́га, обжо́гъ, обжо́га
Ожье;Ожье́
озабочен;озабо́ченъ
озабочивать;озабо́чивать
озадаченный;озада́ченный
озарение;озаре́ніе
озарённые;озарённые (м. р.), озарённыя (ж. р. и ср. р.)
озарённый;озарённый, озарённаго, озарённое
озверелый;озвѣрѣ́лый, озвѣрѣ́лаго
озверение;озвѣрѣ́ніе
озвереть;озвѣрѣ́ть, озвѣрѣ́ешь, озвѣрѣ́емъ
оздоровительный;оздорови́тельный, оздорови́тельнаго
оздоровление;оздоровле́ніе
оздоровлённый;оздоровлённый
озеленение;озелене́ніе
озеленённый;озеленённый
оземь;о́земь (объ зе́млю)
озёра;озёра, у о́зера
озерище;озери́ще (вы́сохшее о́зеро)
Озерки;Озерки́
озерко;озерко́
озернённый;озернённый
озёрник;озёрникъ (моллю́скъ)
Озерной;Озерно́й
озёрные;озёрные (м. р.), озёрныя (ж. р. и ср. р.)
озёрный;озёрный, озёрнаго, озёрное
озеро;о́зеро, на о́зерѣ, озёра
озерцо;озерцо́
озимь;о́зимь (по́ле, за́нятое посѣ́вами ози́мыхъ культу́ръ)
озимые;ози́мые (м. р.), ози́мыя (ж. р. и ср. р.)
озирание;озира́ніе
озлобление;озлобле́ніе
озлобленный;озло́бленный
ознакомление;ознакомле́ніе
ознаменование;ознаменова́ніе
означение;означе́ніе
означенное;озна́ченное
означенный;озна́ченный
озноб;озно́бъ, при озно́бѣ
озноблённый;озноблённый
озокерит;озокери́тъ (минера́лъ съ нефтяны́мъ за́пахомъ, го́рный во́скъ)
озолочённый;озолочённый
озорник;озорни́къ, объ озорникѣ́
Озургеты;Озурге́ты
оидиум;ои́діумъ (распространённая болѣ́знь виногра́да)
окажемся;ока́жемся
окажет;ока́жетъ
окажете;ока́жете
окажется;ока́жется (не ока́жеться!), оказа́ться
окажешься;ока́жешься
окажите;окажи́те
оказавший;оказа́вшій
оказание;оказа́ніе
оказия;ока́зія (возмо́жность попу́тно доста́вить что́-либо, доѣ́хать съ ока́зіей, иска́ть ока́зію)
оказывается;ока́зывается
окаймление;окаймле́ніе
окаймлённый;окаймлённый
окалечить;окалѣ́чить
окаменевшее;окаменѣ́вшее, окаменѣ́вшій, окаменѣ́вшаго
окаменевшие;окаменѣ́вшіе (м. р.), окаменѣ́вшія (ж. р. и ср. р.)
окаменелость;окаменѣ́лость
окаменение;окаменѣ́ніе
окаменеть;окаменѣ́ть, окаменѣ́ете
окапываете;ока́пываете, окопа́ете
окаченный;ока́ченный
окаянное;окая́нное
окаянные;окая́нные (м. р.), окая́нныя (ж. р. и ср. р.)
окаянный;"окая́нный, окая́ннаго (про́клятый, грѣхо́вный, нечести́вый, непрія́тный, доса́дный; нечи́стая си́ла, бѣсъ, чортъ), не окоя́нный!"
океан;океа́нъ, въ океа́нѣ
океанариум;океана́ріумъ и океана́рій
океаниды;океани́ды
океанийский;океані́йскій (отъ Океа́нія)
океанические;океани́ческіе (м. р.), океани́ческія (ж. р. и ср. р.)
океанический;океани́ческій, океани́ческаго
океанического;океани́ческаго
океаническое;океани́ческое
Океания;Океа́нія
океанология;океаноло́гія, океано́логъ
океанские;океа́нскіе (м. р.), океа́нскія (ж. р. и ср. р.)
океанский;океа́нскій, океа́нскаго
океанского;океа́нскаго
океанское;океа́нское
окисел;о́киселъ
окисление;окисле́ніе
окиян;окія́нъ (нaр. океа́нъ), въ окія́нѣ-мо́рѣ
оккупация;оккупа́ція
оклёванный;оклёванный
оклеветанный;оклеве́танный, оклеве́таннаго
оклеветать;оклевета́ть, оклевещу́, оклеве́щетъ
оклеенный;окле́енный
оклеить;окле́ить
оклейка;окле́йка
оклеймённый;оклеймённый
оклематься;оклема́ться (опра́виться по́слѣ болѣ́зни), оклема́ется
окно;окно́, въ окнѣ́
окоём;окоёмъ (простра́нство, кото́рое мо́жно оки́нуть взгля́домъ)
околевание;околѣва́ніе
околевать;околѣва́ть, околѣва́етъ, околѣва́ете, околѣва́емъ, околѣва́ешь, околѣва́ютъ
околевшего;околѣ́вшаго
околевшее;околѣ́вшее
околевшие;околѣ́вшіе (м. р.), околѣ́вшія (ж. р. и ср. р.)
околевший;околѣ́вшій, околѣ́вшаго
околеет;околѣ́етъ, околѣ́ете, околѣ́емъ, околѣ́ешь, околѣ́ютъ
околеть;"околѣ́ть (умере́ть, издо́хнуть; озя́бнуть — околѣ́лъ отъ хо́лода), околѣ́лъ, околѣ́ла, околѣ́ли, околѣ́етъ, околѣ́ете, околѣ́ютъ, околѣ́ешь, околѣ́емъ"
околёсина;околёсина, околёсица
околесица;околе́сица, околёсица, околе́сина, околёсина (вздоръ, безсмы́слица)
околёсица;околёсица, околёсина
околёсная;околёсная, околёсица, околёсина
около;о́коло
околоток;около́токъ (подраздѣле́ніе полице́йскаго городско́го уча́стка), въ около́ткѣ, не около́докъ!
околоточный;около́точный (около́точный надзира́тель — чинъ городско́й поли́ціи, вѣ́давшій около́ткомъ)
околоченный;около́ченный
околпаченный;околпа́ченный (одура́чить, обману́ть)
окомёлок;"окомёлокъ (комлево́й оста́токъ, обру́бокъ, чурба́нъ; окомёлокъ вѣ́ника съ обло́манными пру́тьями)"
оконечный;оконе́чный
оконное;око́нное, око́ннаго
оконные;око́нные (м. р.), око́нныя (ж. р. и ср. р.)
оконный;око́нный, око́ннаго
оконце;око́нце, въ око́нцѣ, око́нцемъ, око́нцевъ и око́нецъ
окончание;оконча́ніе
окончательно;оконча́тельно, оконча́тельнаго, оконча́тельное
окончательные;оконча́тельные (м. р.), оконча́тельныя (ж. р. и ср. р.)
окончен;око́нченъ, око́нчу, око́нчите
оконченность;око́нченность
окопаете;окопа́ете
окорениться;окорени́ться
окорённое;окорённое (бревно́ со сня́той коро́й)
окосевший;окосѣ́вшій, окосѣ́вшаго
окосеет;окосѣ́етъ, окосѣ́ете, окосѣ́емъ, окосѣ́ешь, окосѣ́ютъ, окосѣ́ю
окосеть;окосѣ́ть, окосѣ́ю
окостенелые;окостенѣ́лые (м. р.), окостенѣ́лыя (ж. р. и ср. р.)
окостенелый;окостенѣ́лый, окостенѣ́лое, окостенѣ́лаго
окостенение;окостенѣ́ніе
окостенеть;окостенѣ́ть, окостенѣ́ете
окоченелые;окоченѣ́лые (м. р.), окоченѣ́лыя (ж. р. и ср. р.)
окоченелый;окоченѣ́лый, окоченѣ́лое, окоченѣ́лаго
окоченеть;окоченѣ́ть, окоченѣ́ете
окоченение;окоченѣ́ніе
окошечный;око́шечный
окошко;око́шко, въ око́шкѣ, око́шекъ
окраина;окра́ина, на окра́инѣ
окрашенный;окра́шенный
окреп;окрѣ́пъ, окрѣ́пнете
окрест;окре́стъ (вокру́гъ чего́-либо, по сосѣ́дству съ чѣ́мъ-либо)
окрестить;окрести́ть, окрести́те
окрестного;окре́стнаго
окрестное;окре́стное
окрестность;окре́стность, окре́стности, окре́стностей
окрестные;окре́стные (м. р.), окре́стныя (ж. р. и ср. р.)
окрестный;окре́стный, окре́стнаго
окрещённый;окрещённый
окривелый;окривѣ́лый
окровавленный;окрова́вленный
окромя;окромя́ прoст. (кро́мѣ)
окроплённый;окроплённый
округ;о́кругъ, въ о́кругѣ, о́круга
округа;окру́га, въ окру́гѣ
округлённый;округлённый
округлого;окру́глаго
округлое;окру́глое
округлый;окру́глый, окру́глаго
окружает;окружа́етъ, окружа́емъ, окружа́ешь
окружающего;окружа́ющаго
окружение;окруже́ніе, въ окруже́ніи, окруже́ніемъ
окружённый;окружённый, окружённаго, окружённое
окружной;"окружно́й, окружно́го — окружно́й судъ и окру́жный (окре́стный; око́льный) — окру́жные города́; идти́ окру́жнымъ путёмъ"
окрученный;окру́ченный
окрылённый;окрылённый
оксидентальный;оксидента́льный (сво́йственный стра́намъ за́пада)
окститесь;оксти́тесь (опо́мнитесь), оксти́сь
Октавиан;Октавіа́нъ
Октавий;Окта́вій
октаэдр;окта́эдръ (восьмигра́нникъ)
октет;окте́тъ (анса́мбль изъ восьми́ исполни́телей)
октроировать;октрои́ровать (предоставля́ть форма́льныя преиму́щества, права́ како́му-либо сосло́вію, организа́ціи)
октябрь;октя́брь, въ октябрѣ́, октя́брьскій, деся́таго октября́
окуёшь;окуёшь
окунёвый;окунёвый
окунётесь;окунётесь
окунёшься;окунёшься
окупаемость;окупа́емость
окуренный;оку́ренный
оладейный;ола́дейный
оладья;ола́дья, ола́дій, ола́дьи (то́лстый бли́нъ)
олеандр;олеа́ндръ
Олеарий;Олеа́рій
Олег;Оле́гъ Оле́говичъ
оледенелый;оледенѣ́лый
олеин;олеи́нъ
Олёкма;Олёкма
Олёкминск;Олёкминскъ
Олёна;Олёна (отъ Еле́на)
оленевод;оленево́дъ, объ оленево́дѣ
оленёнок;оленёнокъ, оленёночекъ
оленина;олени́на
олень;оле́нь, оле́ней, объ оле́нѣ, оле́ни, оле́ній слѣ́дъ
Оленька;о́ленька
олеография;олеогра́фія (воспроизведе́ніе карти́нъ ма́сляной жи́вописи спо́собомъ многокра́сочной литогра́фіи)
олеонафт;олеона́фтъ (видъ сма́зочнаго ма́сла, добыва́емаго изъ не́фти)
Олерон;Олеро́нъ
Олеся;Оле́ся
олешник;оле́шникъ (ольхо́вникъ и ольша́никъ)
Оливарец;Оливаре́цъ
оливка;оли́вка, въ оли́вкѣ
оливковое;оли́вковое ма́сло
оливье;оливье́ (сала́тъ)
олигархия;олига́рхія
олигофрен;олигофре́нъ
Олимп;Оли́мпъ, на Оли́мпѣ
олимпиада;олимпіа́да, на олимпіа́дѣ
олимпиец;олимпі́ецъ, объ олимпі́йцѣ, олимпі́йцемъ, олимпі́йцевъ, олимпі́йцами
Олимпий;Оли́мпій
олимпийка;олимпі́йка, объ олимпі́йкѣ
олимпийские;олимпі́йскіе (м. р.), олимпі́йскія (ж. р. и ср. р.)
олимпийский;олимпі́йскій, олимпі́йскаго
олимпийское;олимпі́йское
олистер;олисте́ръ
олифа;оли́фа и али́фа, на оли́фѣ
олицетворение;олицетворе́ніе
олицетворённый;олицетворённый
Оллендорф;Оллендо́рфъ
оловянный;оловя́нный
Олонец;Олоне́цъ, въ Олонцѣ́
Олоферн;Олофе́рнъ
Ольвиополь;Ольвіопо́ль
Ольгерд;Ольге́рдъ
Ольденбург;Ольденбу́ргъ
ольха;ольха́, на ольхѣ́
ольховое;ольхо́вое, ольхо́ваго
ольховые;ольхо́вые (м. р.), ольхо́выя (ж. р. и ср. р.)
омега;оме́га
омеднённый;омѣднённый
омела;оме́ла (паразити́рующій на дере́вьяхъ куста́рникъ съ вѣчнозелёными ли́стьями и бѣ́лыми кле́йкими я́годами)
омерзение;омерзѣ́ніе
омерзительный;омерзи́тельный
омертвение;омертвѣ́ніе
омертвлённый;омертвлённый
омёт;омётъ (ку́ча пло́тно уло́женной соло́мы)
омётывание;омётываніе
омлет;омле́тъ (яи́чница изъ взбо́лтанныхъ съ муко́й и молоко́мъ яи́цъ)
омнибус;омни́бусъ (многомѣ́стный ко́нный экипа́жъ для перево́зки пассажи́ровъ)
омовение;омове́ніе
омографы;омо́графы (жа́ркое и жарко́е — слова, которыя совпадаютъ въ написаніи, но различаются въ произношеніи)
омоложённый;омоложённый
омонимы;омо́нимы (ла́ска — звѣ́рь и нѣ́жность — одина́ковыя по написа́нію и звуча́нію, но ра́зныя по значе́нію слова́)
омофоны;омофо́ны (котъ и кодъ — слова́, кото́рыя звуча́тъ одина́ково, но пи́шутся по-ра́зному)
омофор;омофо́ръ (ча́сть епи́скопскаго облаче́нія въ ви́дѣ дли́нной широ́кой полосы́ мате́ріи съ изображе́ніями кресто́въ)
омочение;омоче́ніе
омрачение;омраче́ніе
омрачённый;омрачённый
омулёвый;омулёвый
омут;о́мутъ, въ о́мутѣ
Омфала;Омфа́ла
омылённый;омылённый
он;О — о́нъ — пятна́дцатая бу́ква ру́сской а́збуки 
она;она́, ея́ — род. ед. ч., её — вин. ед. ч.
оне;онѣ́ — ж. р. отъ они́, сохраняется въ стихахъ — мнѣ/онѣ́ (сoвр. мне/оне́)
Онега;Онѣ́га и Оне́га
Онегин;Евге́ній Онѣ́гинъ
Онежский;Оне́жскій и Онѣ́жскій (зали́въ)
Онежское;Оне́жское и Онѣ́жское (о́зеро)
онемев;онѣмѣ́въ
онемевшие;онѣмѣ́вшіе (м. р.), онѣмѣ́вшія (ж. р. и ср. р.)
онемевший;онѣмѣ́вшій
онемеет;онѣмѣ́етъ
онемеешь;онѣмѣ́ешь
онемел;онѣмѣ́лъ
онемела;онѣмѣ́ла
онемели;онѣмѣ́ли
онемело;онѣмѣ́ло
онемелые;онѣмѣ́лые (м. р.), онѣмѣ́лыя (ж. р. и ср. р.)
онемелый;онѣмѣ́лый
онемение;онѣмѣ́ніе
онеметь;онѣмѣ́ть (сдѣ́латься нѣмы́мъ), но онѣми́ть (сдѣ́лать нѣмы́мъ)
онемеченный;онѣме́ченный (устро́енный по нѣме́цкому образцу́)
онемеют;онѣмѣ́ютъ
онемить;онѣми́ть (сдѣ́лать нѣмы́мъ), но онѣмѣ́ть (сдѣ́латься нѣмы́мъ)
они;они́ (м. р. и ср. р.), онѣ́ (ж. р.)
Онисим;Они́симъ
Онисифор;Онисифо́ръ
Онисий;Они́сій
оного;о́наго (того́ са́маго)
ономедни;ономе́дни (ономня́сь, наме́дни, на-дня́хъ, нады́сь) — уcтap.
ономнясь;ономня́сь (ономе́дни, наме́дни, на-дня́хъ, нады́сь) — уcтap.
Онопрей;Оно́прѣй
Оноприй;Оно́прій
Онтарио;Онта́ріо
Онуфрий;Ону́фрій
онуча;"ону́ча, ону́чи (кусо́къ пло́тной мате́ріи, навёртываемый на но́гу при ноше́ніи лапте́й и́ли сапо́гъ; портя́нка)"
оны;во времена́ о́ны (въ далёкомъ про́шломъ)
оные;о́ные (м. р.), о́ныя (ж. р. и ср. р.)
оный;о́ный (тотъ са́мый), о́наго, о́ной, о́ными, о́нымъ, о́ное, о́ная, о́но, о́ны, объ о́номъ
опавшее;опа́вшее, опа́вшаго
опавшие;опа́вшіе (м. р.), опа́вшія (ж. р. и ср. р.)
опавший;опа́вшій, опа́вшаго
опадение;опаде́ніе
опадёт;опадётъ, опадёте
опала;опа́ла (неми́лость), въ опа́лѣ
опаление;опале́ніе
опалённый;опалённый
опаляет;опаля́етъ, опаля́ете
опарение;опаре́ніе
опаршивленность;опарши́вленность
опаршивелость;опаршивѣ́лость
опасение;опасе́ніе
опаснее;опа́снѣе
опасное;опа́сное, опа́сный, опа́снаго
опасные;опа́сные (м. р.), опа́сныя (ж. р. и ср. р.)
опасность;опа́сность
опахнётся;опахнётся, опахнётесь
опашень;о́пашень (долгопо́лый лѣ́тній кафта́нъ съ коро́ткими широ́кими рукава́ми)
опевать;опѣва́ть
